pickup_x,pickup_y,dropoff_x,dropoff_y,pickup_sec
16,7,9,9,72446
10,13,11,13,64852
10,14,10,14,49714
9,12,10,13,47923
10,13,9,13,42332
11,13,10,12,59440
9,13,9,12,82709
10,12,9,12,61756
16,7,18,10,78121
10,12,13,13,42584
9,12,11,13,66262
10,13,11,14,64133
10,12,13,13,27669
10,13,9,13,54950
9,12,10,12,20506
10,13,10,13,35275
10,13,9,13,54980
9,13,10,12,50920
8,10,9,9,79345
10,13,10,14,44562
9,13,12,17,68515
10,13,10,12,33286
10,12,9,12,85854
11,13,10,13,74742
9,13,9,10,40401
16,7,9,13,57785
10,13,10,12,78780
10,13,10,13,66211
11,13,10,13,79164
10,12,9,12,25648
10,12,3,9,46943
9,12,9,12,20607
9,12,9,12,31510
10,13,9,11,61950
13,12,9,12,69876
10,12,10,12,63885
9,13,10,13,78439
9,13,10,12,38654
9,13,10,12,47231
9,13,10,13,66939
16,7,10,5,48842
9,11,10,10,80726
10,11,9,11,28022
9,11,9,11,71380
13,13,15,14,64537
10,13,10,14,56096
13,13,9,9,71448
9,11,9,12,35005
9,11,9,12,1280
10,13,10,13,60078
9,12,9,12,73176
10,13,10,13,27791
10,13,10,13,66051
10,13,10,13,56814
10,13,10,12,75715
9,11,10,12,70075
9,12,10,13,65097
10,14,13,13,53614
10,14,9,12,23510
12,11,15,9,39916
10,13,10,12,72836
9,12,9,12,59058
10,14,9,13,61846
10,14,9,13,34564
11,13,9,12,35968
10,12,9,12,52737
10,13,9,13,61221
9,12,9,13,82740
10,13,8,10,68007
9,13,9,13,77039
9,13,10,13,44098
10,13,10,13,31088
10,13,10,13,81115
10,13,10,12,37677
13,13,12,13,66927
9,10,11,15,11644
10,13,10,13,31168
9,11,8,10,64422
9,12,10,11,67784
10,13,10,13,68276
10,13,9,13,63487
10,11,10,12,8575
10,12,10,13,55664
10,13,9,13,51052
9,12,10,13,37846
10,12,9,12,35672
9,12,10,13,78110
10,12,9,10,62426
10,13,11,13,4538
9,11,9,12,75196
10,13,10,13,55979
16,7,9,11,78699
10,13,9,12,74570
10,13,10,13,45715
9,12,8,10,59636
10,13,10,13,58854
16,7,10,13,77765
9,11,9,11,57097
10,12,10,12,65368
10,12,9,12,50789
16,7,11,8,2333
9,13,10,13,65437
13,13,9,13,57123
11,14,11,14,64473
10,12,9,12,71599
9,12,9,12,25736
9,11,10,12,50074
10,12,9,13,45585
9,12,9,12,70172
10,13,9,12,5486
16,7,9,12,26822
10,12,10,13,76222
9,12,10,14,83177
9,12,9,11,73200
9,12,9,13,45856
10,14,11,14,34809
9,13,9,13,57805
10,13,9,13,50830
9,11,9,9,9651
16,7,16,9,80450
9,12,9,11,51166
10,13,11,14,53906
13,13,11,13,722
9,11,10,13,48593
9,12,9,12,31165
10,13,9,12,81982
13,13,14,11,51863
10,13,10,13,63848
10,13,10,13,40889
13,13,9,11,68248
10,13,9,13,53386
17,9,9,13,74680
10,14,11,14,46508
10,13,11,13,39194
9,12,10,12,70187
9,11,9,11,904
10,13,9,13,73542
10,12,10,12,35361
9,12,9,9,67107
10,12,10,14,41669
10,12,10,13,47099
10,13,10,14,59767
10,13,10,12,24218
10,12,10,13,42696
10,12,10,13,83469
10,13,10,13,76514
10,13,11,13,44904
9,11,10,12,24445
9,11,9,8,13441
9,11,9,11,10037
10,13,10,13,27878
10,13,10,14,32069
11,13,11,13,84889
10,13,11,11,75294
10,13,9,13,47253
10,12,10,12,47885
11,13,10,14,83817
9,12,9,13,67703
8,10,10,14,45618
10,13,10,13,76248
10,13,10,13,57039
8,10,9,11,31327
9,12,13,13,49684
10,13,11,13,66389
10,12,9,11,25754
9,12,10,14,1539
9,13,9,12,55837
10,12,9,12,3055
11,13,10,14,70723
13,12,9,13,2148
10,13,10,13,67031
10,13,10,13,31492
11,13,10,13,27549
9,12,9,11,84420
11,15,11,14,33535
10,14,10,13,76097
10,12,10,12,51383
9,13,9,12,57438
9,12,11,16,83104
13,13,10,12,2
10,13,10,12,57221
14,17,9,12,59922
16,7,9,12,58225
10,11,9,10,53467
10,13,10,12,44793
10,13,9,12,64392
10,12,9,11,62029
9,12,9,11,35550
9,9,10,12,29144
10,15,13,13,18915
9,11,9,11,74010
10,13,10,11,58771
9,12,10,12,22972
9,11,8,10,678
9,11,10,12,81097
10,12,10,13,48544
10,13,11,16,80503
10,13,10,13,51355
9,11,9,12,34108
10,12,9,10,56884
9,12,10,13,56686
10,13,10,13,20528
9,13,10,13,71481
10,13,9,13,25432
9,12,9,13,59393
17,12,12,13,67094
10,13,10,12,72656
9,9,10,12,56831
9,10,9,11,47731
10,13,10,13,54144
9,12,9,12,48066
9,12,8,10,41770
13,13,13,10,73906
9,11,9,11,83398
10,13,9,11,55958
10,13,10,13,69423
9,11,9,12,75054
10,13,9,13,63768
11,13,10,13,71590
10,13,10,13,82010
11,13,10,13,28515
9,12,9,12,54097
10,12,10,12,32284
10,13,10,13,47832
10,12,9,11,65630
10,12,9,12,36826
9,10,9,10,5520
10,13,9,12,56289
10,14,10,13,31443
9,12,10,13,65931
13,13,9,10,81590
9,11,10,13,79711
10,12,10,12,82825
10,13,10,14,28328
11,11,9,10,5447
9,12,9,12,61440
9,12,10,13,77577
10,12,9,12,51335
9,12,9,12,74971
9,11,9,11,59134
9,11,10,13,41587
9,11,10,13,82274
10,12,10,12,40834
10,12,9,11,65635
10,13,10,13,50081
8,10,9,12,42803
9,12,8,10,77654
10,13,10,14,41807
9,13,9,13,65838
9,12,10,13,78636
10,13,10,13,64301
10,13,9,12,65400
9,11,10,13,46204
8,10,9,10,61085
9,11,9,11,57033
9,11,10,13,52481
10,13,10,13,54985
9,11,11,17,1077
9,12,10,14,83249
9,11,8,10,85111
10,13,10,13,48909
13,13,10,11,68061
10,12,10,13,50925
9,12,9,11,82564
10,12,9,11,42787
10,12,10,13,36162
9,12,10,12,41572
9,12,10,13,29914
10,13,9,13,37630
9,11,10,13,56811
10,13,10,13,36860
10,13,11,13,77132
10,13,10,13,34770
16,7,13,9,52502
10,12,16,7,52140
9,13,10,13,28039
9,13,9,12,48521
16,7,9,11,79261
10,12,11,11,74327
9,12,10,12,85850
10,13,11,13,69952
9,12,9,12,66919
9,11,9,11,67363
10,13,10,13,65459
10,12,11,13,76074
10,13,10,13,60757
16,7,9,8,872
9,11,9,9,62586
